case_number,date_last_modified,ground,reason,status,date_filed,petition_number
L16-0081,1-1-2016,,Certificate of Exemption,Completed,2016-01-01 01:01:01.000,8946
C16-0004,2-13-2018,,,Completed,2016-01-01 01:01:01.000,8966
T16-0540,2-13-2018,Rent Increase Exceeds CPI or more than 10%,,Completed,2016-01-01 01:01:01.000,9018
T16-0540,2-13-2018,No Concurrent RAP Notice,,Completed,2016-01-01 01:01:01.000,9018
T16-0540,2-13-2018,Second Increase in 12 months,,Completed,2016-01-01 01:01:01.000,9018
T16-0001,12-21-2017,Second Increase in 12 months,,In-process,2015-12-31 00:00:00.000,8759
T16-0001,12-21-2017,Decrease in Services,,In-process,2015-12-31 00:00:00.000,8759
T16-0003,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-31 00:00:00.000,8761
T16-0003,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-31 00:00:00.000,8761
T16-0003,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-31 00:00:00.000,8761
T16-0002,12-21-2017,Second Increase in 12 months,,Completed,2015-12-31 00:00:00.000,8760
T16-0004,12-21-2017,Decrease in Services,,Completed,2015-12-31 00:00:00.000,8762
L15-0077,12-30-2015,,Certificate of Exemption,Completed,2015-12-30 00:00:00.000,608
T15-0696,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-30 00:00:00.000,8755
T15-0697,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-30 00:00:00.000,8756
T15-0698,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-30 00:00:00.000,8757
T15-0696,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-30 00:00:00.000,8755
T15-0698,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-30 00:00:00.000,8757
T15-0698,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-30 00:00:00.000,8757
T15-0695,12-21-2017,Second Increase in 12 months,,Completed,2015-12-30 00:00:00.000,8754
T15-0694,12-21-2017,Decrease in Services,,Completed,2015-12-30 00:00:00.000,8753
T15-0696,12-21-2017,Decrease in Services,,Completed,2015-12-30 00:00:00.000,8755
T15-0698,12-21-2017,Decrease in Services,,Completed,2015-12-30 00:00:00.000,8757
L15-0076,12-29-2015,,Certificate of Exemption,Completed,2015-12-29 00:00:00.000,607
T15-0687,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-29 00:00:00.000,8746
T15-0688,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-29 00:00:00.000,8747
T15-0689,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-29 00:00:00.000,8748
T15-0690,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-29 00:00:00.000,8749
T15-0692,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-29 00:00:00.000,8751
T15-0693,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-29 00:00:00.000,8752
T15-0690,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-29 00:00:00.000,8749
T15-0693,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-29 00:00:00.000,8752
T15-0687,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-29 00:00:00.000,8746
T15-0689,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-29 00:00:00.000,8748
T15-0690,12-21-2017,Decrease in Services,,Completed,2015-12-29 00:00:00.000,8749
T15-0691,12-21-2017,Decrease in Services,,Completed,2015-12-29 00:00:00.000,8750
T15-0693,12-21-2017,Decrease in Services,,Completed,2015-12-29 00:00:00.000,8752
T15-0688,12-21-2017,No Summary Provided,,Completed,2015-12-29 00:00:00.000,8747
L15-0075,12-28-2015,,Certificate of Exemption,Completed,2015-12-28 00:00:00.000,606
T15-0686,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-28 00:00:00.000,8745
T15-0686,12-21-2017,Second Increase in 12 months,,Completed,2015-12-28 00:00:00.000,8745
T15-0686,12-21-2017,Decrease in Services,,Completed,2015-12-28 00:00:00.000,8745
X15-0017,12-24-2015,,Certificate of Exemption,Completed,2015-12-24 00:00:00.000,959
C16-0001,12-21-2017,,,Completed,2015-12-24 00:00:00.000,1011
T15-0685,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-24 00:00:00.000,8744
T15-0685,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-24 00:00:00.000,8744
T15-0685,12-21-2017,Decrease in Services,,Completed,2015-12-24 00:00:00.000,8744
T15-0684,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-23 00:00:00.000,8743
T15-0684,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-23 00:00:00.000,8743
T15-0684,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-23 00:00:00.000,8743
T15-0678,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-22 00:00:00.000,8737
T15-0680,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-22 00:00:00.000,8739
T15-0681,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-22 00:00:00.000,8740
T15-0676,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-22 00:00:00.000,8735
T15-0676,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-22 00:00:00.000,8735
T15-0676,12-21-2017,Decrease in Services,,Completed,2015-12-22 00:00:00.000,8735
T15-0677,12-21-2017,Decrease in Services,,Completed,2015-12-22 00:00:00.000,8736
T15-0682,12-21-2017,Decrease in Services,,Completed,2015-12-22 00:00:00.000,8741
T15-0683,12-21-2017,Decrease in Services,,Completed,2015-12-22 00:00:00.000,8742
T15-0680,12-21-2017,No Summary Provided,,Completed,2015-12-22 00:00:00.000,8739
T15-0679,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-21 00:00:00.000,8738
T15-0679,12-21-2017,Decrease in Services,,Completed,2015-12-21 00:00:00.000,8738
L15-0073,4-11-2018,,Extension of Time,In-process,2015-12-18 00:00:00.000,604
L15-0073,4-11-2018,,Certificate of Exemption,In-process,2015-12-18 00:00:00.000,604
T15-0673,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-18 00:00:00.000,8732
T15-0674,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-18 00:00:00.000,8733
T15-0675,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-18 00:00:00.000,8734
T15-0673,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-18 00:00:00.000,8732
T15-0675,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-18 00:00:00.000,8734
T15-0673,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-18 00:00:00.000,8732
T15-0674,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-18 00:00:00.000,8733
T15-0675,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-18 00:00:00.000,8734
T15-0673,12-21-2017,Decrease in Services,,Completed,2015-12-18 00:00:00.000,8732
L15-0074,12-16-2015,,Certificate of Exemption,Completed,2015-12-16 00:00:00.000,605
T15-0670,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-16 00:00:00.000,8729
T15-0671,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-16 00:00:00.000,8730
T15-0669,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-16 00:00:00.000,8728
T15-0670,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-16 00:00:00.000,8729
T15-0671,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-16 00:00:00.000,8730
T15-0669,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-16 00:00:00.000,8728
T15-0670,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-16 00:00:00.000,8729
T15-0671,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-16 00:00:00.000,8730
T15-0669,12-21-2017,Decrease in Services,,Completed,2015-12-16 00:00:00.000,8728
T15-0670,12-21-2017,Decrease in Services,,Completed,2015-12-16 00:00:00.000,8729
T15-0671,12-21-2017,Decrease in Services,,Completed,2015-12-16 00:00:00.000,8730
T15-0672,12-21-2017,Decrease in Services,,Completed,2015-12-16 00:00:00.000,8731
T15-0666,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-15 00:00:00.000,8725
T15-0668,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-15 00:00:00.000,8727
T15-0666,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-15 00:00:00.000,8725
T15-0668,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-15 00:00:00.000,8727
T15-0666,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-15 00:00:00.000,8725
T15-0668,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-15 00:00:00.000,8727
T15-0667,12-21-2017,Decrease in Services,,Completed,2015-12-15 00:00:00.000,8726
T15-0666,12-21-2017,No Summary Provided,,Completed,2015-12-15 00:00:00.000,8725
T15-0664,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-14 00:00:00.000,8723
T15-0664,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-14 00:00:00.000,8723
T15-0664,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-14 00:00:00.000,8723
T15-0665,12-21-2017,Second Increase in 12 months,,Completed,2015-12-14 00:00:00.000,8724
T15-0664,12-21-2017,Decrease in Services,,Completed,2015-12-14 00:00:00.000,8723
T15-0665,12-21-2017,Decrease in Services,,Completed,2015-12-14 00:00:00.000,8724
T15-0664,12-21-2017,No Summary Provided,,Completed,2015-12-14 00:00:00.000,8723
T15-0664,12-21-2017,Costa Hawkins Violation,,Completed,2015-12-14 00:00:00.000,8723
L15-0072,12-11-2015,,Approval of Increase,Completed,2015-12-11 00:00:00.000,603
T15-0661,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-11 00:00:00.000,8720
T15-0663,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-11 00:00:00.000,8722
T15-0663,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-11 00:00:00.000,8722
T15-0661,12-21-2017,Second Increase in 12 months,,Completed,2015-12-11 00:00:00.000,8720
T15-0661,12-21-2017,Decrease in Services,,Completed,2015-12-11 00:00:00.000,8720
T15-0662,12-21-2017,Decrease in Services,,Completed,2015-12-11 00:00:00.000,8721
T15-0657,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-10 00:00:00.000,8716
T15-0658,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-10 00:00:00.000,8717
T15-0657,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-10 00:00:00.000,8716
T15-0657,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-10 00:00:00.000,8716
T15-0657,12-21-2017,Decrease in Services,,Completed,2015-12-10 00:00:00.000,8716
T15-0659,12-21-2017,Decrease in Services,,Completed,2015-12-10 00:00:00.000,8718
T15-0660,12-21-2017,Decrease in Services,,Completed,2015-12-10 00:00:00.000,8719
T15-0652,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-08 00:00:00.000,8711
T15-0653,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-08 00:00:00.000,8712
T15-0655,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-08 00:00:00.000,8714
T15-0656,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-08 00:00:00.000,8715
T15-0652,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-08 00:00:00.000,8711
T15-0653,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-08 00:00:00.000,8712
T15-0656,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-08 00:00:00.000,8715
T15-0652,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-08 00:00:00.000,8711
T15-0653,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-08 00:00:00.000,8712
T15-0656,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-08 00:00:00.000,8715
T15-0652,12-21-2017,Decrease in Services,,Completed,2015-12-08 00:00:00.000,8711
T15-0653,12-21-2017,Decrease in Services,,Completed,2015-12-08 00:00:00.000,8712
T15-0654,12-21-2017,Decrease in Services,,Completed,2015-12-08 00:00:00.000,8713
L15-0071,12-7-2015,,Certificate of Exemption,Completed,2015-12-07 00:00:00.000,602
T15-0647,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-07 00:00:00.000,8706
T15-0648,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-07 00:00:00.000,8707
T15-0649,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-07 00:00:00.000,8708
T15-0650,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-07 00:00:00.000,8709
T15-0651,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-07 00:00:00.000,8710
T15-0647,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-07 00:00:00.000,8706
T15-0649,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-07 00:00:00.000,8708
T15-0650,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-07 00:00:00.000,8709
T15-0651,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-07 00:00:00.000,8710
T15-0647,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-07 00:00:00.000,8706
T15-0650,12-21-2017,Second Increase in 12 months,,Completed,2015-12-07 00:00:00.000,8709
T15-0651,12-21-2017,Second Increase in 12 months,,Completed,2015-12-07 00:00:00.000,8710
T15-0647,12-21-2017,Decrease in Services,,Completed,2015-12-07 00:00:00.000,8706
T15-0646,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,In-process,2015-12-04 00:00:00.000,8705
T15-0645,12-21-2017,Decrease in Services,,Completed,2015-12-03 00:00:00.000,8704
T15-0642,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-02 00:00:00.000,8701
T15-0644,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-02 00:00:00.000,8703
T15-0642,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-02 00:00:00.000,8701
T15-0644,12-21-2017,No Concurrent RAP Notice,,Completed,2015-12-02 00:00:00.000,8703
T15-0642,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-02 00:00:00.000,8701
T15-0644,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-12-02 00:00:00.000,8703
T15-0642,12-21-2017,Decrease in Services,,Completed,2015-12-02 00:00:00.000,8701
T15-0643,12-21-2017,Decrease in Services,,Completed,2015-12-02 00:00:00.000,8702
T15-0642,12-21-2017,No Summary Provided,,Completed,2015-12-02 00:00:00.000,8701
T15-0641,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-12-01 00:00:00.000,8700
T15-0640,12-21-2017,Decrease in Services,,Completed,2015-12-01 00:00:00.000,8699
L15-0070,11-30-2015,,Approval of Increase,Completed,2015-11-30 00:00:00.000,601
T15-0636,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-30 00:00:00.000,8695
T15-0637,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-30 00:00:00.000,8696
T15-0638,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-30 00:00:00.000,8697
T15-0637,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-30 00:00:00.000,8696
T15-0636,12-21-2017,Decrease in Services,,Completed,2015-11-30 00:00:00.000,8695
T15-0638,12-21-2017,Decrease in Services,,Completed,2015-11-30 00:00:00.000,8697
T15-0639,12-21-2017,Decrease in Services,,Completed,2015-11-30 00:00:00.000,8698
T15-0634,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-25 00:00:00.000,8693
T15-0635,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-25 00:00:00.000,8694
T15-0635,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-25 00:00:00.000,8694
T15-0634,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-25 00:00:00.000,8693
T15-0635,12-21-2017,Second Increase in 12 months,,Completed,2015-11-25 00:00:00.000,8694
T15-0633,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-24 00:00:00.000,8692
X15-0014,11-23-2015,,Certificate of Exemption,Completed,2015-11-23 00:00:00.000,956
T15-0627,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-23 00:00:00.000,8686
T15-0628,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-23 00:00:00.000,8687
T15-0629,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-23 00:00:00.000,8688
T15-0630,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-23 00:00:00.000,8689
T15-0631,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-23 00:00:00.000,8690
T15-0632,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-23 00:00:00.000,8691
T15-0628,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-23 00:00:00.000,8687
T15-0629,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-23 00:00:00.000,8688
T15-0630,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-23 00:00:00.000,8689
T15-0631,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-23 00:00:00.000,8690
T15-0632,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-23 00:00:00.000,8691
T15-0628,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-23 00:00:00.000,8687
T15-0629,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-23 00:00:00.000,8688
T15-0630,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-23 00:00:00.000,8689
T15-0631,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-23 00:00:00.000,8690
T15-0632,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-23 00:00:00.000,8691
T15-0630,12-21-2017,Second Increase in 12 months,,Completed,2015-11-23 00:00:00.000,8689
T15-0631,12-21-2017,Second Increase in 12 months,,Completed,2015-11-23 00:00:00.000,8690
T15-0632,12-21-2017,Second Increase in 12 months,,Completed,2015-11-23 00:00:00.000,8691
T15-0627,12-21-2017,Decrease in Services,,Completed,2015-11-23 00:00:00.000,8686
T15-0629,12-21-2017,Decrease in Services,,Completed,2015-11-23 00:00:00.000,8688
T15-0631,12-21-2017,Decrease in Services,,Completed,2015-11-23 00:00:00.000,8690
T15-0632,12-21-2017,Decrease in Services,,Completed,2015-11-23 00:00:00.000,8691
T15-0614,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,In-process,2015-11-20 00:00:00.000,8673
T15-0614,12-21-2017,Decrease in Services,,In-process,2015-11-20 00:00:00.000,8673
T15-0615,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-20 00:00:00.000,8674
T15-0617,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-20 00:00:00.000,8676
T15-0618,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-20 00:00:00.000,8677
T15-0618,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-20 00:00:00.000,8677
T15-0618,12-21-2017,Second Increase in 12 months,,Completed,2015-11-20 00:00:00.000,8677
T15-0616,12-21-2017,Decrease in Services,,Completed,2015-11-20 00:00:00.000,8675
T15-0618,12-21-2017,Decrease in Services,,Completed,2015-11-20 00:00:00.000,8677
T15-0626,5-14-2018,Rent Increase Exceeds CPI or more than 10%,,Submitted,2015-11-19 00:00:00.000,8685
T15-0626,5-14-2018,Second Increase in 12 months,,Submitted,2015-11-19 00:00:00.000,8685
T15-0626,5-14-2018,Decrease in Services,,Submitted,2015-11-19 00:00:00.000,8685
T15-0625,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-19 00:00:00.000,8684
T15-0625,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-19 00:00:00.000,8684
T15-0625,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-19 00:00:00.000,8684
T15-0625,12-21-2017,Second Increase in 12 months,,Completed,2015-11-19 00:00:00.000,8684
T15-0625,12-21-2017,Decrease in Services,,Completed,2015-11-19 00:00:00.000,8684
T15-0619,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-18 00:00:00.000,8678
T15-0622,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-18 00:00:00.000,8681
T15-0619,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-18 00:00:00.000,8678
T15-0623,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-18 00:00:00.000,8682
T15-0619,12-21-2017,Second Increase in 12 months,,Completed,2015-11-18 00:00:00.000,8678
T15-0624,12-21-2017,Second Increase in 12 months,,Completed,2015-11-18 00:00:00.000,8683
T15-0624,12-21-2017,Decrease in Services,,Completed,2015-11-18 00:00:00.000,8683
T15-0620,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-17 00:00:00.000,8679
T15-0621,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-17 00:00:00.000,8680
T15-0613,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-17 00:00:00.000,8672
T15-0621,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-17 00:00:00.000,8680
T15-0613,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-17 00:00:00.000,8672
T15-0613,12-21-2017,Decrease in Services,,Completed,2015-11-17 00:00:00.000,8672
T15-0620,12-21-2017,Decrease in Services,,Completed,2015-11-17 00:00:00.000,8679
T15-0621,12-21-2017,Decrease in Services,,Completed,2015-11-17 00:00:00.000,8680
T15-0621,12-21-2017,No Summary Provided,,Completed,2015-11-17 00:00:00.000,8680
T15-0611,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-16 00:00:00.000,8670
T15-0611,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-16 00:00:00.000,8670
T15-0612,12-21-2017,Second Increase in 12 months,,Completed,2015-11-16 00:00:00.000,8671
X15-0015,11-13-2015,,Approval of Increase,Completed,2015-11-13 00:00:00.000,957
T15-0609,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-13 00:00:00.000,8668
T15-0610,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-13 00:00:00.000,8669
T15-0609,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-13 00:00:00.000,8668
T15-0610,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-13 00:00:00.000,8669
T15-0609,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-13 00:00:00.000,8668
T15-0610,12-21-2017,Decrease in Services,,Completed,2015-11-13 00:00:00.000,8669
T15-0608,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-10 00:00:00.000,8667
T15-0607,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-09 00:00:00.000,8666
L15-0068,11-6-2015,,Certificate of Exemption,Completed,2015-11-06 00:00:00.000,599
T15-0606,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-06 00:00:00.000,8665
T15-0605,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-06 00:00:00.000,8664
T15-0605,12-21-2017,Decrease in Services,,Completed,2015-11-06 00:00:00.000,8664
T15-0601,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,In-process,2015-11-05 00:00:00.000,8660
T15-0601,12-21-2017,Decrease in Services,,In-process,2015-11-05 00:00:00.000,8660
L15-0069,11-5-2015,,Approval of Increase,Completed,2015-11-05 00:00:00.000,600
T15-0602,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-05 00:00:00.000,8661
T15-0603,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-05 00:00:00.000,8662
T15-0604,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-05 00:00:00.000,8663
T15-0602,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-05 00:00:00.000,8661
T15-0603,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-05 00:00:00.000,8662
T15-0604,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-05 00:00:00.000,8663
T15-0602,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-05 00:00:00.000,8661
T15-0603,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-05 00:00:00.000,8662
T15-0604,12-21-2017,Second Increase in 12 months,,Completed,2015-11-05 00:00:00.000,8663
T15-0604,12-21-2017,Decrease in Services,,Completed,2015-11-05 00:00:00.000,8663
T15-0602,12-21-2017,No Summary Provided,,Completed,2015-11-05 00:00:00.000,8661
T15-0603,12-21-2017,No Summary Provided,,Completed,2015-11-05 00:00:00.000,8662
T15-0590,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-04 00:00:00.000,8649
T15-0598,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-04 00:00:00.000,8657
T15-0599,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-04 00:00:00.000,8658
T15-0600,12-21-2017,Rent Increase Exceeds CPI or more than 10%,,Completed,2015-11-04 00:00:00.000,8659
T15-0589,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-04 00:00:00.000,8648
T15-0591,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-04 00:00:00.000,8650
T15-0593,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-04 00:00:00.000,8652
T15-0594,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-04 00:00:00.000,8653
T15-0595,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-04 00:00:00.000,8654
T15-0596,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-04 00:00:00.000,8655
T15-0597,12-21-2017,No Concurrent RAP Notice,,Completed,2015-11-04 00:00:00.000,8656
T15-0589,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-04 00:00:00.000,8648
T15-0591,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-04 00:00:00.000,8650
T15-0593,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-04 00:00:00.000,8652
T15-0594,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-04 00:00:00.000,8653
T15-0595,12-21-2017,No RAP Notice at Inception or 6 Months Prior,,Completed,2015-11-04 00:00:00.000,8654
